date,open,high,low,close,volume,average,barCount
2025-05-16 14:12:00-04:00,520.14,520.38,520.14,520.38,49764.0,520.312,294
2025-05-16 14:13:00-04:00,520.38,520.42,520.34,520.4,58066.0,520.39,323
2025-05-16 14:14:00-04:00,520.41,520.46,520.34,520.35,26550.0,520.4,155
2025-05-16 14:15:00-04:00,520.34,520.48,520.31,520.42,47929.0,520.399,295
2025-05-16 14:16:00-04:00,520.43,520.43,520.33,520.37,49736.0,520.385,259
2025-05-16 14:17:00-04:00,520.35,520.37,520.27,520.29,43125.0,520.32,236
2025-05-16 14:18:00-04:00,520.3,520.32,520.14,520.17,46291.0,520.191,250
2025-05-16 14:19:00-04:00,520.18,520.36,520.15,520.34,28941.0,520.233,151
2025-05-16 14:20:00-04:00,520.34,520.41,520.26,520.39,25330.0,520.346,165
2025-05-16 14:21:00-04:00,520.39,520.45,520.35,520.37,74451.0,520.399,324
2025-05-16 14:22:00-04:00,520.35,520.46,520.29,520.46,21456.0,520.366,151
2025-05-16 14:23:00-04:00,520.45,520.53,520.45,520.51,49673.0,520.506,237
2025-05-16 14:24:00-04:00,520.5,520.56,520.45,520.49,32202.0,520.507,192
2025-05-16 14:25:00-04:00,520.48,520.53,520.32,520.37,40051.0,520.442,210
2025-05-16 14:26:00-04:00,520.36,520.63,520.36,520.57,59720.0,520.522,290
2025-05-16 14:27:00-04:00,520.58,520.64,520.54,520.62,46683.0,520.597,212
2025-05-16 14:28:00-04:00,520.62,520.62,520.49,520.5,26703.0,520.53,191
2025-05-16 14:29:00-04:00,520.5,520.51,520.42,520.44,32124.0,520.459,204
2025-05-16 14:30:00-04:00,520.44,520.63,520.3,520.61,88376.0,520.491,514
2025-05-16 14:31:00-04:00,520.62,520.64,520.43,520.49,38669.0,520.559,253
2025-05-16 14:32:00-04:00,520.49,520.57,520.4,520.49,46634.0,520.501,258
2025-05-16 14:33:00-04:00,520.52,520.58,520.5,520.54,24105.0,520.534,159
2025-05-16 14:34:00-04:00,520.55,520.62,520.49,520.6,46399.0,520.559,286
2025-05-16 14:35:00-04:00,520.59,520.63,520.55,520.57,41391.0,520.599,244
2025-05-16 14:36:00-04:00,520.56,520.63,520.49,520.52,26616.0,520.561,221
2025-05-16 14:37:00-04:00,520.52,520.62,520.45,520.6,37168.0,520.536,242
2025-05-16 14:38:00-04:00,520.62,520.78,520.6,520.73,49148.0,520.693,303
2025-05-16 14:39:00-04:00,520.74,520.79,520.7,520.77,28772.0,520.752,243
2025-05-16 14:40:00-04:00,520.77,521.06,520.75,521.0,119316.0,520.921,689
2025-05-16 14:41:00-04:00,521.0,521.04,520.84,520.87,53877.0,520.932,299
2025-05-16 14:42:00-04:00,520.87,520.88,520.64,520.84,75188.0,520.776,442
2025-05-16 14:43:00-04:00,520.82,520.94,520.8,520.89,53437.0,520.879,329
2025-05-16 14:44:00-04:00,520.89,520.99,520.88,520.9,31717.0,520.94,227
2025-05-16 14:45:00-04:00,520.91,521.12,520.9,521.05,46501.0,521.027,351
2025-05-16 14:46:00-04:00,521.05,521.13,521.01,521.04,59400.0,521.065,376
2025-05-16 14:47:00-04:00,521.05,521.09,521.03,521.04,28806.0,521.06,184
2025-05-16 14:48:00-04:00,521.06,521.1,520.95,520.97,43618.0,521.033,266
2025-05-16 14:49:00-04:00,520.97,521.05,520.97,520.98,97880.0,521.026,469
2025-05-16 14:50:00-04:00,520.98,521.0,520.87,520.98,225929.0,520.949,474
2025-05-16 14:51:00-04:00,520.98,521.25,520.96,521.21,101632.0,521.122,680
2025-05-16 14:52:00-04:00,521.22,521.24,521.12,521.17,65368.0,521.17,367
2025-05-16 14:53:00-04:00,521.16,521.16,521.08,521.11,45575.0,521.118,348
2025-05-16 14:54:00-04:00,521.12,521.17,521.04,521.08,25600.0,521.111,206
2025-05-16 14:55:00-04:00,521.08,521.22,521.03,521.21,44941.0,521.13,257
2025-05-16 14:56:00-04:00,521.2,521.22,521.01,521.01,34649.0,521.131,230
2025-05-16 14:57:00-04:00,521.02,521.12,520.94,521.09,41009.0,521.006,258
2025-05-16 14:58:00-04:00,521.1,521.1,520.96,520.98,21866.0,521.021,162
2025-05-16 14:59:00-04:00,520.97,520.98,520.8,520.85,95028.0,520.879,400
2025-05-16 15:00:00-04:00,520.85,521.01,520.81,520.98,129576.0,520.907,616
2025-05-16 15:01:00-04:00,520.98,521.07,520.96,521.03,49407.0,521.02,266
2025-05-16 15:02:00-04:00,521.02,521.19,521.01,521.1,42649.0,521.125,329
2025-05-16 15:03:00-04:00,521.08,521.13,521.04,521.12,48970.0,521.095,269
2025-05-16 15:04:00-04:00,521.13,521.17,521.1,521.13,17058.0,521.128,149
2025-05-16 15:05:00-04:00,521.14,521.37,521.14,521.32,93310.0,521.287,492
2025-05-16 15:06:00-04:00,521.34,521.55,521.31,521.49,97407.0,521.449,539
2025-05-16 15:07:00-04:00,521.5,521.54,521.43,521.46,77645.0,521.491,440
2025-05-16 15:08:00-04:00,521.43,521.47,521.3,521.31,74363.0,521.391,466
2025-05-16 15:09:00-04:00,521.31,521.31,521.16,521.31,54812.0,521.266,315
2025-05-16 15:10:00-04:00,521.31,521.36,521.19,521.21,80425.0,521.298,435
2025-05-16 15:11:00-04:00,521.21,521.37,521.19,521.35,62390.0,521.269,362
2025-05-16 15:12:00-04:00,521.34,521.42,521.31,521.37,27545.0,521.359,215
2025-05-16 15:13:00-04:00,521.37,521.39,521.23,521.34,27774.0,521.309,205
2025-05-16 15:14:00-04:00,521.33,521.35,521.25,521.34,31106.0,521.303,194
2025-05-16 15:15:00-04:00,521.35,521.45,521.33,521.35,39715.0,521.383,242
2025-05-16 15:16:00-04:00,521.35,521.38,521.14,521.14,34832.0,521.266,246
2025-05-16 15:17:00-04:00,521.13,521.27,521.08,521.23,53381.0,521.172,323
2025-05-16 15:18:00-04:00,521.23,521.36,521.19,521.27,59948.0,521.278,262
2025-05-16 15:19:00-04:00,521.28,521.38,521.24,521.29,54319.0,521.311,272
2025-05-16 15:20:00-04:00,521.28,521.3,521.11,521.14,56518.0,521.211,356
2025-05-16 15:21:00-04:00,521.14,521.29,521.13,521.22,39570.0,521.216,307
2025-05-16 15:22:00-04:00,521.23,521.33,521.18,521.27,40600.0,521.283,269
2025-05-16 15:23:00-04:00,521.27,521.28,521.14,521.2,32945.0,521.207,272
2025-05-16 15:24:00-04:00,521.18,521.33,521.16,521.33,39832.0,521.257,278
2025-05-16 15:25:00-04:00,521.32,521.37,521.24,521.27,44082.0,521.308,294
2025-05-16 15:26:00-04:00,521.27,521.33,521.13,521.21,54841.0,521.22,313
2025-05-16 15:27:00-04:00,521.21,521.36,521.19,521.35,54002.0,521.26,313
2025-05-16 15:28:00-04:00,521.34,521.42,521.25,521.41,33190.0,521.336,269
2025-05-16 15:29:00-04:00,521.4,521.41,521.26,521.32,86819.0,521.334,494
2025-05-16 15:30:00-04:00,521.32,521.32,521.1,521.11,75618.0,521.191,553
2025-05-16 15:31:00-04:00,521.1,521.14,520.99,521.14,54501.0,521.063,395
2025-05-16 15:32:00-04:00,521.13,521.25,521.11,521.16,86580.0,521.185,527
2025-05-16 15:33:00-04:00,521.16,521.19,520.87,520.88,100728.0,521.025,670
2025-05-16 15:34:00-04:00,520.88,521.05,520.84,520.94,79526.0,520.942,462
2025-05-16 15:35:00-04:00,520.95,521.05,520.89,520.92,81563.0,520.956,533
2025-05-16 15:36:00-04:00,520.91,520.95,520.8,520.81,138152.0,520.866,706
2025-05-16 15:37:00-04:00,520.8,520.88,520.72,520.73,129895.0,520.8,654
2025-05-16 15:38:00-04:00,520.74,520.77,520.61,520.71,69888.0,520.686,519
2025-05-16 15:39:00-04:00,520.7,520.87,520.66,520.71,95504.0,520.777,640
2025-05-16 15:40:00-04:00,520.7,520.73,520.56,520.72,82174.0,520.63,513
2025-05-16 15:41:00-04:00,520.71,520.96,520.66,520.72,80286.0,520.797,534
2025-05-16 15:42:00-04:00,520.72,520.78,520.69,520.72,54539.0,520.73,418
2025-05-16 15:43:00-04:00,520.71,520.71,520.55,520.67,70334.0,520.615,462
2025-05-16 15:44:00-04:00,520.66,520.69,520.57,520.65,54347.0,520.631,376
2025-05-16 15:45:00-04:00,520.66,520.72,520.55,520.66,68899.0,520.632,498
2025-05-16 15:46:00-04:00,520.64,520.73,520.49,520.73,93400.0,520.617,624
2025-05-16 15:47:00-04:00,520.74,521.1,520.69,521.07,140546.0,520.934,881
2025-05-16 15:48:00-04:00,521.07,521.35,521.04,521.33,158992.0,521.251,1074
2025-05-16 15:49:00-04:00,521.33,521.34,521.06,521.25,153892.0,521.206,921
